faculty_id,activity_id
112052765,3330
112052765,3331
112052765,3332
112052765,3333
112052765,3334
112052765,3335
112052765,3336
112052765,3337
111114394,3380
111114394,3381
111114394,3382
111110183,3397
111110183,3398
111110183,3399
111110183,3401
111110183,3402
111110183,3403
111110183,3404
111110183,3405
111110183,3406
111110183,3407
111110183,3408
111110183,3409
111110183,3410
111110183,3411
111110183,3412
111110183,3413
111110183,3414
111110183,3415
111110183,3416
111110183,3417
111110183,3418
111110183,3419
111110183,3420
111110183,3421
111110183,3422
111110183,3423
111110183,3424
113075443,3489
113075443,3490
113075443,3491
113075443,3492
113075443,3493
113075443,3494
113075443,3495
113075443,3496
113075443,3497
113075443,3498
113075443,3499
113075443,3500
113075443,3501
113075443,3502
113075443,3503
113075443,3504
113075443,3505
113075443,3506
